album_id,title,artist_type,artist_label,release_date,category,language,label,notes
BTS_ALB_001,2 Cool 4 Skool,Group,BTS,2013-06-12,single album,Korean,Big Hit Entertainment,Debut single
BTS_ALB_002,O!RUL8,2?,Group,BTS,2013-09-11,mini-album,Korean,Big Hit Entertainment,Second EP
BTS_ALB_003,Skool Luv Affair,Group,BTS,2014-02-12,mini-album,Korean,Big Hit Entertainment,Third EP
BTS_ALB_004,Skool Luv Affair Special Addition,Group,BTS,2014-05-14,repackage,Korean,Big Hit Entertainment,Reissue of Skool Luv Affair
BTS_ALB_005,Dark & Wild,Group,BTS,2014-08-19,studio,Korean,Big Hit Entertainment,First full studio album
BTS_ALB_006,Wake Up,Group,BTS,2014-12-24,studio,Japanese,Big Hit Entertainment,Japanese debut album
BTS_ALB_007,The Most Beautiful Moment in Life Pt.1,Group,BTS,2015-04-29,mini-album,Korean,Big Hit Entertainment,HYYH era begins
BTS_ALB_008,The Most Beautiful Moment in Life Pt.2,Group,BTS,2015-11-30,mini-album,Korean,Big Hit Entertainment,Follow-up to Pt.1
BTS_ALB_009,The Most Beautiful Moment in Life: Young Forever,Group,BTS,2016-05-02,compilation,Korean,Big Hit Entertainment,Wrap-up of HYYH trilogy
BTS_ALB_010,Youth,Group,BTS,2016-09-07,studio,Japanese,Big Hit Entertainment,Japanese youth theme album
BTS_ALB_011,Wings,Group,BTS,2016-10-10,studio,Korean,Big Hit Entertainment,Conceptual full album
BTS_ALB_012,You Never Walk Alone,Group,BTS,2017-02-13,repackage,Korean,Big Hit Entertainment,Reissue of Wings
BTS_ALB_013,The Best of 防弾少年団 (Korea Edition),Group,BTS,2017-01-06,compilation,Japanese,Big Hit Entertainment,Japan-only release
BTS_ALB_014,The Best of 防弾少年団 (Japan Edition),Group,BTS,2017-01-06,compilation,Japanese,Big Hit Entertainment,Japan-only release
BTS_ALB_015,Love Yourself: Her,Group,BTS,2017-09-18,mini-album,Korean,Big Hit Entertainment,Love Yourself series begins
BTS_ALB_016,Face Yourself,Group,BTS,2018-04-04,studio,Japanese,Big Hit Entertainment,Japanese language album
BTS_ALB_017,Love Yourself: Tear,Group,BTS,2018-05-18,studio,Korean,Big Hit Entertainment,Love Yourself full album
BTS_ALB_018,Love Yourself: Answer,Group,BTS,2018-08-24,compilation,Korean,Big Hit Entertainment,Conclusion to trilogy
BTS_ALB_019,Map of the Soul: Persona,Group,BTS,2019-04-12,mini-album,Korean,Big Hit Entertainment,Map of the Soul era begins
BTS_ALB_020,BTS World: Original Soundtrack,Group,BTS,2019-06-28,soundtrack,Korean,Big Hit Entertainment,OST for mobile game
BTS_ALB_021,Map of the Soul: 7,Group,BTS,2020-02-21,studio,Korean,Big Hit Entertainment,Most comprehensive BTS album
BTS_ALB_022,Map of the Soul: 7 – The Journey,Group,BTS,2020-07-15,studio,Japanese,Big Hit Entertainment,Japanese album
BTS_ALB_023,Dynamite (Single),Group,BTS,2020-08-21,single,English,Big Hit Entertainment / Columbia,First full English single
BTS_ALB_024,Be,Group,BTS,2020-11-20,studio,Korean,Big Hit Entertainment,COVID-era album
BTS_ALB_025,BTS, The Best,Group,BTS,2021-06-16,compilation,Japanese,Big Hit Entertainment,Japanese compilation
BTS_ALB_026,Butter,Group,BTS,2021-07-09,single,English,Big Hit Entertainment,English-language CD single
BTS_ALB_027,Proof,Group,BTS,2022-06-10,compilation,Korean,Big Hit Entertainment,Anthology album
BTS_ALB_028,2025 BTS Festa: Capsule Album Vol.1,Group,BTS,2025-06-27,compilation,Korean,Big Hit Entertainment,Special 2025 anniversary release
BTS_ALB_029,Permission to Dance on Stage – Live,Group,BTS,2025-07-18,live,Korean,Big Hit Entertainment,Live concert album
