solo_id,Title,member_label,Release_Date,Release_Type,linked_album_id,Language,Notes
1,"Animal (Jo Kwon feat. j-hope)","j-hope, Jo Kwon",2012-06-25,Collaboration,–,Korean,"Jo Kwon single; j-hope’s first pre-debut feature"
2,"A Perfect Christmas (RM & Jung Kook with Lim Jeong Hee, etc.)","RM, Jungkook, Jo Kwon, Lim Jeong Hee, Joo Hee",2013-12-18,Collaboration,–,Korean,"BigHit artists collaboration (Seasonal song)"
3,"P.D.D (Please Don’t Die) (Warren G feat. RM)","RM, Warren G",2015-03-04,Collaboration,–,English,"Warren G single featuring RM"
4,"Bucku Bucku (부끄부끄) (MFBTY feat. RM)","RM, MFBTY",2015-03-19,Collaboration,–,Korean/English,"MFBTY (Tiger JK/Yoonmirae) track ft. RM"
5,"U (Primary feat. RM & Kwon Jin-ah)","RM, Primary, Kwon Jin-ah",2015-04-07,Collaboration,–,Korean,"Primary’s single featuring RM (later on album)"
6,"ProMeTheUs (Yankie feat. RM, etc.)","RM, Yankie",2015-05-27,Collaboration,–,Korean,"Yankie track feat. RM and others"
7,"Fantastic (RM feat. Mandy Ventrice) (Marvel OST)","RM, Mandy Ventrice",2015-08-04,OST Single,–,English,"Fantastic Four OST theme (Korean release)"
8,"Intro: DT Suga (feat. DJ Friz)","SUGA, DJ Friz",2016-08-16,Mixtape Track,–,Korean,"from Agust D mixtape (Agust D’s intro)"
9,"Agust D","SUGA",2016-08-16,Mixtape Track,–,Korean,"from Agust D mixtape"
10,"Give It To Me","SUGA",2016-08-16,Mixtape Track,–,Korean,"from Agust D mixtape"
11,"Skit: 하소연 (Overflow)","SUGA",2016-08-16,Mixtape Track,–,Korean,"skit track from Agust D mixtape"
12,"724148","SUGA",2016-08-16,Mixtape Track,–,Korean,"from Agust D mixtape (title is Daegu tel. area code)"
13,"140503 새벽에 (140503 at Dawn)","SUGA",2016-08-16,Mixtape Track,–,Korean,"from Agust D mixtape"
14,"The Last","SUGA",2016-08-16,Mixtape Track,–,Korean,"from Agust D mixtape"
15,"Tony Montana (feat. Yankie)","SUGA, Yankie",2016-08-16,Mixtape Track,–,Korean,"from Agust D mixtape"
16,"Interlude: Dream, Reality","SUGA",2016-08-16,Mixtape Track,–,Korean,"from Agust D mixtape (instrumental interlude)"
17,"So Far Away (feat. Suran)","SUGA, Suran",2016-08-16,Mixtape Track,–,Korean,"from Agust D mixtape (Outro track ft. Suran)"
18,"It’s Definitely You (Jin & V) (Hwarang OST)","Jin, V",2016-12-19,OST,–,Korean,"Hwarang drama OST duet"
19,"Change (RM & Wale)","RM, Wale",2017-03-19,Collaboration,–,English,"RM x Wale digital single"
20,"Gajah (Gaeko feat. RM)","RM, Gaeko",2017-04-05,Collaboration,–,Korean,"Gaeko’s album track featuring RM"
21,"Champion (Remix) (Fall Out Boy feat. RM)","RM, Fall Out Boy",2017-12-15,Collaboration,–,English,"RM featured on Fall Out Boy’s remix"
22,"Hope World","j-hope",2018-03-02,Mixtape Track,–,Korean/English,"from Hope World mixtape (Intro track)"
23,"P.O.P (Piece of Peace) Pt.1","j-hope",2018-03-02,Mixtape Track,–,Korean,"from Hope World mixtape"
24,"Daydream (백일몽)","j-hope",2018-03-02,Mixtape Track,–,Korean,"from Hope World (Title track)"
25,"Base Line","j-hope",2018-03-02,Mixtape Track,–,Korean,"from Hope World mixtape"
26,"HANGSANG (feat. Supreme Boi)","j-hope, Supreme Boi",2018-03-02,Mixtape Track,–,Korean,"from Hope World mixtape"
27,"Airplane","j-hope",2018-03-02,Mixtape Track,–,Korean,"from Hope World mixtape"
28,"Blue Side (Outro)","j-hope",2018-03-02,Mixtape Track,–,Korean,"from Hope World mixtape (outro)"
29,"Tokyo","RM",2018-10-23,Playlist (Mixtape) Track,–,English,"from mono."
30,"Seoul (Prod. HONNE)","RM",2018-10-23,Playlist Track,–,Korean/English,"from mono."
31,"Moonchild","RM",2018-10-23,Playlist Track,–,English,"from mono."
32,"Badbye (with eAeon)","RM, eAeon",2018-10-23,Playlist Track,–,Korean,"from mono."
33,"Uhgood (어긋)","RM",2018-10-23,Playlist Track,–,Korean,"from mono."
34,"Everythingoes (지나가) (feat. Nell)","RM, Nell",2018-10-23,Playlist Track,–,Korean,"from mono."
35,"Forever Rain","RM",2018-10-23,Playlist Track,–,Korean,"from mono."
36,"Promise (약속) (Jimin Solo)","Jimin",2018-12-31,Digital Single,–,Korean,"Self-composed solo song"
37,"Song Request (이소라 feat. SUGA)","SUGA, Lee Sora",2019-01-22,Collaboration,–,Korean,"Lee Sora ballad featuring SUGA"
38,"Crying Over You (HONNE feat. RM & Beka)","RM, HONNE, Beka",2019-03-27,Collaboration,–,English,"HONNE single ft. RM"
